genero;id_cliente;nombre
1;123;alex
1;111;elian
0;112;mabe
1;1727624742;prueba
1;345345345;SFSDFSDFSDDF
1;5345354353;VCVCXVXVXCNB DD FSDFDS
1;1234567890;DFDFGDFDSFSDF
1;3435334353;XCVXBDFN DF FDGFD G
1;3454353;VXCXVXCV
1;43535345;DSSDFSF
1;4534543;CXVCVXVX
1;34242423;VXVCXVXCVX
1;4535345;FFGDFGDF
1;4324242;SFSDFSDF
1;32424234;SDFDSFDSF
1;435435345;XVXCVXCVXV
1;4345345;DFSDFSDF
1;342423423;XSDFSDFDS
1;45432423;CXZXCZXCZCX
1;324324234;VXCVXZCXZCZ
1;452342342;XVCXVCCXV
1;323242432;DDSVXCVXCV
1;34324234;SDFSDFS
1;3453543;FSFSFSDFSFSDF
1;34324324;SADASD
1;423424;ASDASD
1;12334535;SDADASD
1;342342;DFDSFSDF
1;4535;DFDSFSDF
1;243452342;DFSFSDFDS
1;123234324;SFSDFSDF
1;232343242;SADSADASD
1;34432432;DDFDSFSDF
1;34242;SDADAS
1;32432423;DFFSDDFSDF
1;435543;DSFSDFSDFF
1;45435345;DFDSFSFDS
1;3434234234;DFASDASD
1;3423432423;ADASDSADASD
1;1715814172;CRISTIAN FERNANDO YUNGA PEDRAZA
1;6041821820;DSFSDFSDFF
1;5858334465;DSFSDFSDFF
1;7277320708;DSFSDFSDFF
1;2197279352;DSFSDFSDFF
1;3549651084;CRISTIAN YUNGA
1;8510870652;CRISTIAN YUNGA
1;8394612093;CRISTIAN YUNGA
1;8165260757;CRISTIAN YUNGA
1;2295241443;CRISTIAN YUNGA
1;2642201685;CRISTIAN YUNGA
1;6214687943;CRISTIAN YUNGA
1;5385435557;CRISTIAN YUNGA
1;2646935621;CRISTIAN YUNGA
1;7039032045;CRISTIAN YUNGA
1;4205250502;CRISTIAN YUNGA
1;7498222322;CRISTIAN YUNGA
1;5213013142;CRISTIAN YUNGA
1;5726013524;CRISTIAN YUNGA
1;9284739247;CRISTIAN YUNGA
1;3724584486;CRISTIAN YUNGA
1;7003833425;CRISTIAN YUNGA
1;1074582363;CRISTIAN YUNGA
1;3290134954;CRISTIAN YUNGA
1;2686224023;CRISTIAN YUNGA
1;4154813800;CRISTIAN YUNGA
1;6808380590;CRISTIAN YUNGA
1;4316313709;CRISTIAN YUNGA
1;4391166500;CRISTIAN YUNGA
1;1341820765;CRISTIAN YUNGA
1;9706568820;CRISTIAN YUNGA
1;3812156830;CRISTIAN YUNGA
1;9608532570;CRISTIAN YUNGA
1;3398543245;CRISTIAN YUNGA
1;7441866562;CRISTIAN YUNGA
1;6530084387;CRISTIAN YUNGA
1;8469260275;CRISTIAN YUNGA
1;8894094039;CRISTIAN YUNGA
1;3474944752;CRISTIAN YUNGA
1;9817344175;CRISTIAN YUNGA
1;9450427761;CRISTIAN YUNGA
1;6837114536;CRISTIAN YUNGA
1;4670238825;CRISTIAN YUNGA
1;5602240958;CRISTIAN YUNGA
1;9958769706;CRISTIAN YUNGA
1;5766213980;CRISTIAN YUNGA
1;6299466996;CRISTIAN YUNGA
1;2837185003;CRISTIAN YUNGA
1;1133586785;CRISTIAN YUNGA
1;8258109860;CRISTIAN YUNGA
1;7788280490;CRISTIAN YUNGA
1;5203224506;CRISTIAN YUNGA
1;7543251398;PEPITO
1;5155221310;PEPITO
1;4449692041;PEPITO
1;7342459386;PEPITO
1;8838683588;PEPITO
1;7296968839;PEPITO
1;6758311785;CRISTIAN YUNGA
1;7822800228;CRISTIAN YUNGA
1;1611570746;CRISTIAN YUNGA
1;5778073111;CRISTIAN YUNGA
1;9121389728;CRISTIAN YUNGA
1;3472343868;CRISTIAN YUNGA
1;5765773411;CRISTIAN YUNGA
1;2217354564;CRISTIAN YUNGA
1;2917431474;CRISTIAN YUNGA
1;8771602201;CRISTIAN YUNGA
1;4346699427;CRISTIAN YUNGA
1;9073569906;CRISTIAN YUNGA
1;4940296026;CRISTIAN YUNGA
1;3548072770;CRISTIAN YUNGA
1;1867616718;CRISTIAN YUNGA
1;7746774444;CRISTIAN YUNGA
1;9798896879;CRISTIAN YUNGA
1;6201459206;CRISTIAN YUNGA
1;8949474313;CRISTIAN YUNGA
1;5440222072;CRISTIAN YUNGA
1;3804528756;CRISTIAN YUNGA
1;9094543526;CRISTIAN YUNGA
1;8228082090;CRISTIAN YUNGA
1;4901568635;CRISTIAN YUNGA
1;2221800105;CRISTIAN YUNGA
1;4823272055;CRISTIAN YUNGA
1;4928985859;CRISTIAN YUNGA
1;6052175847;CRISTIAN YUNGA
1;8273788993;CRISTIAN YUNGA
1;9775307561;CRISTIAN YUNGA
1;4833088899;CRISTIAN YUNGA
1;4223933894;CRISTIAN YUNGA
1;3360434597;CRISTIAN YUNGA
1;6851869171;CRISTIAN YUNGA
1;9031111522;CRISTIAN YUNGA
1;1776510535;CRISTIAN YUNGA
1;9127454602;CRISTIAN YUNGA
1;2307095539;CRISTIAN YUNGA
1;4378423607;CRISTIAN YUNGA
1;9252265161;CRISTIAN YUNGA
1;3971121989;CRISTIAN YUNGA
1;6470733436;CRISTIAN YUNGA
1;4331983285;CRISTIAN YUNGA
1;1161410360;CRISTIAN YUNGA
1;1941594830;CRISTIAN YUNGA
1;3738174073;CRISTIAN YUNGA
1;7135749644;CRISTIAN YUNGA
1;8953367535;CRISTIAN YUNGA
0;4114533390;CRISTIAN YUNGA
0;4268687731;CRISTIAN YUNGA
1;3024044501;CRISTIAN YUNGA
1;1257605565;CRISTIAN YUNGA
1;8650216047;CRISTIAN YUNGA
1;7234168680;CRISTIAN YUNGA
1;6485267043;CRISTIAN YUNGA
1;4434715670;CRISTIAN YUNGA
1;2541794327;CRISTIAN YUNGA
0;4200824698;SOFIA GONZALEZ
1;8231377271;PATRICIO FERNANDEZ
